,Text,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis,SWN analysis
10,"I've had this phone for over a year and I really like it. Having never been partial to flip phones, I can appreciate this Nokia's features. The color screen is very nice and all of the features are easy to use. The keylock is a simple two-button sequence though I do wish it had a timer for the keylock like my old phone. It has a lot of useful features, like a calculator, organizer, stopwatch and alarm, but the three games it has are too lame to play. The customizable features are nice, but lacking in variety. This isn't the ideal phone for a guy. You're few options are pretty girly. The ringtones also lack something to be desired, but there are a few decent ones. The battery life is pretty good, nothing special, but definitely not bad. It gets me through the average day without problems and sometimes lasts for several days. My parents, sisters, and husband all got fancy Samsung flip phones with cameras and all the toys, and I must say mine works better. The battery lasts MUCH longer and the recpetion is MUCH better. The downside to this cute phone is the case. It's made of very weak plastic that cracked in a few months. Also, if you're thinking about getting a different case for it, DON'T! Once you take it off, it will keep slipping off. It never attaches firmly again, and neither does the new case you bought. I've read this in other reviews too. Because of this, the last time I dropped it the back piece popped off and the battery flew out. Now my phone has issues. Drat. Overall, it's a great phone, if you're content with the simpler things in life. Who really uses the camera on thier phone anyway? I just reccommend buying a protective case for it and leaving it on and don't drop the delicate thing.",  phone year really like never partial flip phone appreciate Nokia feature color screen nice feature easy use keylock simple two button sequence though wish timer keylock like old phone lot useful feature like calculator organizer stopwatch alarm three game lame play customizable feature nice lack variety ideal phone guy option pretty girly ringtones also lack something desire decent one battery life pretty good nothing special definitely bad get average day without problem sometimes last several day parent sister husband get fancy Samsung flip phone camera toy must say mine work well battery last MUCH longer recpetion MUCH good downside cute phone case make weak plastic crack month Also think get different case take keep slip never attach firmly neither new case buy read review last time drop back piece pop battery fly phone issue Drat Overall great phone content simpler thing life really use camera thier phone anyway reccommend buy protective case leave drop delicate thing,0.16052875695732838,Positive,0.9884,Positive,Positive
11,"1.) Slow - If you want to check your missed calls list, this phone feels compelled to inform you whether or not there are any new calls in the list...it does this for about 20 seconds. Of course, it will take you half a second to read the message...and you probably don't care about what it says. 2.) Annoying - Ever had anyone scream in your ear? That's a sensation I get from this phone on a regular basis. It has the nice ability to attach a voice tag to a phone number...a useful feature...when it works. About 80% of the time, it recognizes the number I ask for, the other 20% it lets me know that it doesn't understand...by screeching (next to my head). Want to know what that feels like with your phone? Turn the ringer up to the highest setting, hold the phone next to your ear, call your phone. Not pleasant. Add to this the fact that when you're searching one of the numerous menus on the phone (menus that have at least 5 items in them), the menu system uses up a whole screen to display one line of text. It has three lines available to it...but it uses one. What's next? What did you just pass? Go back and look, can't find out another way! 3.) Fragile - My phone is cracked. Why you ask? Because I took off the battery cover. Why did you take off the battery cover you ask? Because I wanted to write this review and that was the only way to find out the model number. 4.) Heavy - Speaks for itself...the phone weighs way too much. 5.) Bulky - Again, like heavy, speaks for itself. My recommendation: buy a better phone. This one will only make you cry at night.",  Slow want check missed call list phone feel compel inform whether new call list second course take half second read message probably care say Annoying Ever anyone scream ear sensation get phone regular basis nice ability attach voice tag phone number useful feature work time recognize number ask let know understand screech next head Want know feel like phone Turn ringer high setting hold phone next ear call phone pleasant Add fact search one numerous menu phone menu least item menu system use whole screen display one line text three line available use one next pass Go back look find another way Fragile phone crack ask take battery cover take battery cover ask want write review way find model number Heavy Speaks phone weigh way much Bulky like heavy speaks recommendation buy good phone one make cry night,0.06095959595959596,Positive,0.926,Positive,Positive
12,"I bought this phone about a year ago and have been using it ever since, on the Sprint PCS network, to replace an old TP2100. The first time I bought it, the phone was defective, so I had to get it replaced after a few days. I liked the phone okay at first, but I really wish I can go back in time and buy a better phone. Several issues: *mediocre reception. *rather bulky and unattractive. *cheap feel, cheaply made, cheap materials. *screen not easily visible in bright sunlight. *battery life marginal. I will go into a little detail about a few things. I get okay reception on this phone. It is NOT GOOD reception. The phone will work in areas where there is a good signal, but in areas with a marginal signal, such as my apartment, the phone will drop calls left and right, and fade in and out about 5 seconds of every minute (this is outside, so interference from the building is not the cause). In my residence, I use my husband's Sanyo, as it gets an excellent signal, and doesn't drop nearly as many calls. I have had Sprint check out the phone, and they say it is working correctly. I can only assume it is the poor quality of the phone that is to blame. The phone is quite big for what I would expect from a modern phone, with no camera. In a small purse, it takes up a lot of room. What is more important is that the phone is cheaply made, and has a cheap feel to it. It's made out of rather flimsy plastic. I dropped the phone once onto concrete from about 3 feet up, and the antenna head got a crack in it and a corner of the phone got serious scratches. Also, the screen can be difficult to read in bright sunlight, but it's quite bright otherwise. As far as battery life goes, it's not that great. I've gone to bed with the battery half full and have woken up to a dead phone. I believe the poor reception in my immediate area is to blame, as the phone searches for a signal and that takes battery time. Talk time is decent. Pros: *LOUD ringer *lots of features, but I rarely use them.",  buy phone year ago use ever since Sprint PCS network replace old TP first time buy phone defective get replace day like phone okay first really wish go back time buy good phone Several issue mediocre reception rather bulky unattractive cheap feel cheaply make cheap material screen easily visible bright sunlight battery life marginal go little detail thing get okay reception phone GOOD reception phone work area good signal area marginal signal apartment phone drop call leave right fade second every minute outside interference building cause residence use husband Sanyo get excellent signal drop nearly many call Sprint check phone say work correctly assume poor quality phone blame phone quite big would expect modern phone camera small purse take lot room important phone cheaply make cheap feel make rather flimsy plastic drop phone onto concrete foot antenna head get crack corner phone get serious scratch Also screen difficult read bright sunlight quite bright otherwise far battery life go great go bed battery half full wake dead phone believe poor reception immediate area blame phone search signal take battery time Talk time decent Pros LOUD ringer lot feature rarely use,0.22382305194805197,Positive,0.8526,Positive,Positive
13,This is an excellent choice for Sprint to use when enrolling new customers for service. It is the free option for most new customers and it has been excellent after a year of ownership. I love how it lights up when someone is calling which helps to really find the phone quickly when you are in the dark. If you have the phone in a purse it really makes it easy to find due to this fact. The Nokia phone seems to be tougher to me than the Samsung phones at the Sprint store also. So my only issue with the phone is the fact that since it is not a flip phone the keypad must be locked before I drop the phone in my pants pocket. This can be annoying if you get used to owning a flip phone before moving to the Nokia.,  excellent choice Sprint use enrol new customer service free option new customer excellent year ownership love light someone call help really find phone quickly dark phone purse really make easy find due fact Nokia phone seem tough Samsung phone Sprint store also issue phone fact since flip phone keypad must lock drop phone pant pocket annoy get use own flip phone move Nokia,0.31015512265512263,Positive,0.9458,Positive,Positive
14,DON'T BUY OUT OF SERVICE,  BUY SERVICE,0.0,Neutral,0.0,Neutral,Positive
15,I have been with nextel for nearly a year now I started out this time last year with the Motorola i205 and just upgraded to the i265 it is one of the best phones I have ever had the service is the best I have ever had I have no problems making or reciving calls. If you are considering nextel give it a shot they are in my opinion the best cell company out there.,  nextel nearly year start time last year Motorola upgrade one best phone ever service best ever problem make reciving call consider nextel give shot opinion best cell company,0.62,Positive,0.8979,Positive,Positive
16,"I just got it and have to say its easy to use, i can hear the person talking just fine and i have had no problems dealing with nextel.",  get say easy use hear person talk fine problem deal nextel,0.42500000000000004,Positive,0.25,Neutral,Positive
17,1 star because the phones locked so I have to pay additional fees to unlock it,  star phone lock pay additional fee unlock,0.0,Neutral,-0.1027,Neutral,Neutral
18,The product has been very good. I had used this cell phone in one of my projects and it worked wonders. I will definitely recommend this to anyone interested in buying it....,  product good use cell phone one project work wonder definitely recommend anyone interested buy,0.31666666666666665,Positive,0.8689,Positive,Positive
19,"My problems with nextel did not stop when I canceled my service. I will get to the problems with the service. When I went to get a new phone a day before my contract expired, I of course wanted to keep my number. So as I went to get my Cingular phone (highly recommended), I had the old number switched to my new number. Today, I get in the mail my nextel statement for the month with a $200 early termination even though I had not canceled my service, but had simply got a new phone and switched my number over. This was on icing on the cake after 2 years of absolutely amazingy bad service from nextel. In my town, not a small town by any means, there are very few places that have any service. In the largest subdivision, you cannot get service anywhere. I constantly get comments from people trying to reach me that get the classic nextel line...Please hold while the nextel subscriber you are trying to reach is located. Most of the time I would not even recieve incoming calls, calls would go straight to my voice mail. Not only would I not get the calls, but often I would not even get the voice mails until days or even weeks later. When I did actually take calls (and call out), I cannot count the number of times I've had my call dropped. I recieved so many different error messages sometimes I wonder if they just spend all their time at nextel thinking of different error messages to program into their phones. That brings me to the selling point of nextel, the famed and well-loved direct connect feature. This is an absolute joke. Direct connect only works MAYBE half the time I tried to use it. Even then, in the middle of the conversation I would be greeted by the loud beep of my phone telling me I wont be talking to that person anymore. Of course, I would expect nothing less from the nextel network. Text messaging with nextel is next to impossible. If it did not take hours to send or recieve a message, it took days, or maybe didn't even come at all. The internet access was fine, it the rare instance that it worked. Of course, when you don't have service, you don't get the internet access either. I was constantly getting the message ""network not available"". Calling and trying to complain to nextel is futile. Trying to get through to customer service takes forever and once you get through they do nothing. My experience with nextel has been nothing short of a disaster and I write this trying to warn anyone considering nextel. Stick with Verizon or Cingular and you will be much happier in the end. Don't make the same mistake I did.",  problem nextel stop cancel service get problem service go get new phone day contract expire course want keep number go get Cingular phone highly recommend old number switch new number Today get mail nextel statement month early termination even though cancel service simply get new phone switch number ice cake year absolutely amazingy bad service nextel town small town mean place service large subdivision get service anywhere constantly get comment people try reach get classic nextel line Please hold nextel subscriber try reach locate time would even recieve incoming call call would go straight voice mail would get call often would even get voice mail day even week later actually take call call count number time call drop recieved many different error message sometimes wonder spend time nextel thinking different error message program phone bring selling point nextel famed well love direct connect feature absolute joke Direct connect work MAYBE half time try use Even middle conversation would greet loud beep phone tell wont talk person anymore course would expect nothing less nextel network Text messaging nextel next impossible take hour send recieve message take day maybe even come internet access fine rare instance work course service get internet access either constantly get message network available Calling try complain nextel futile Trying get customer service take forever get nothing experience nextel nothing short disaster write try warn anyone consider nextel Stick Verizon Cingular much happy end make mistake,0.07511694324194325,Positive,-0.0587,Neutral,Positive
20,GREAT PRODUCT THAT IS AS GREAT FOR NEXTEL AS IT IS FOR BOOST INSERT YOUR SIM & GO!,  GREAT PRODUCT GREAT NEXTEL BOOST INSERT SIM GO,0.8,Positive,0.8979,Positive,Neutral
21,"I bought this phone to replace an LG phone that I didn't like. As I expected, all I had to do was put the old SIM card in the new phone and it worked. There are two serious drawbacks to this device, both related to the candy bar style. First, all the buttons are exposed, so it's easy to hit one accidentally. Second, the screen is easily scratched. This one got scratched making it difficult to read in sunlight. Aside from those two flaws, the phone works great. Connectivity, battery life, and quality of voice are superb. Since I don't do texting I can't comment on that. It is nice and small, and if it came with a case, or if I could find a case for it, then it would be perfect for my needs. The price was right. Now I have a new SIM card with $10 worth of calling on it that I don't need.",  buy phone replace LG phone like expect put old SIM card new phone work two serious drawback device relate candy bar style First button expose easy hit one accidentally Second screen easily scratch one get scratch make difficult read sunlight Aside two flaw phone work great Connectivity battery life quality voice superb Since texting comment nice small come case could find case would perfect need price right new SIM card worth call need,0.27448593073593075,Positive,0.9559,Positive,Positive
22,"I purchased this phone for my AT&T phone replacement, even though one of the FAQ mentioned it works with AT&T SIM, in my case, it didn't. Since this is my primary phone, in stead of spending time to see the reason, I'll go with other phone, which specifically says it's ""unlocked"".",  purchase phone phone replacement even though one FAQ mention work SIM case Since primary phone stead spending time see reason go phone specifically say unlocked,0.4,Positive,0.0,Neutral,Positive
23,The phone did not come with a charger and didn't have a sims card.,  phone come charger sims card,0.0,Neutral,0.0,Neutral,Positive
24,SERVED ME WELL AS A BACK UP PHONE.,  SERVED WELL BACK PHONE,0.0,Neutral,0.2732,Neutral,Neutral
25,I got this phone just as secondary cell phone. It is really lightweight and very cheap. The receiption is good. But most of the time a windy noise is heard when somebody is calling to this cell phone.,  get phone secondary cell phone really lightweight cheap receiption good time windy noise hear somebody call cell phone,0.25,Positive,0.4404,Neutral,Positive
26,Sturdy - clarity is great - easy to use Only problem - no Speaker option...... Big issue for me but im living with it atm.,  Sturdy clarity great easy use problem Speaker option Big issue im living atm,0.41111111111111115,Positive,0.7906,Positive,Neutral
27,Phone stoped working,  Phone stop work,0.0,Neutral,-0.296,Neutral,Neutral
28,It does a beautiful job. I have used this item with my att account. its good to see my bill so little and avoided big amount of bills..i would recommend this product to any body. Very good quality it really met my expectations,  beautiful job use item att account good see bill little avoid big amount bill would recommend product body good quality really meet expectation,0.3770833333333334,Positive,0.8832,Positive,Positive
29,way too small,  way small,-0.25,Negative,0.0,Neutral,Negative
30,"I asked my friend to toss me my phone, but what he heard was ""Hey, throw that phone as hard as you can at my head"", so he did. Hit me square in the temple and I dropped. Needless to say this is a very sturdy phone, very simple and easy to use, long battery life (Like really long, like Stretch Armstrong long), takes being dropped and smacked around like a champ. If this phone was my son, i'd be proud, and afraid. The texting takes a little to get used to, but I digress. Smart Phones are for dummies. P.S you can create your own ringtones on this phone, provides way more entertainment than Flappy Bird.",  ask friend toss phone hear Hey throw phone hard head Hit square temple drop Needless say sturdy phone simple easy use long battery life Like really long like Stretch Armstrong long take drop smack around like champ phone son proud afraid texting take little get use digress Smart Phones dummy P create ringtones phone provide way entertainment Flappy Bird,-0.025595238095238095,Negative,0.9686,Positive,Positive
31,"We never use cell phones, but thought we needed one for a long road trip. With our last phone we were always irritated that the battery seemed to be dead every time we tried to use it. Based on reviews, we chose this phone. Battery life is great! And the phone really does handle abuse very well. My husband forgot it was in his shirt pocket. The phone went through the washer and dryer and still works as well as ever!! I'm not sure how it would work as an everyday phone, but for those who only need it occasionally I would highly recommend. It will be there, charged and ready when you need it.",  never use cell phone think need one long road trip last phone always irritate battery seem dead every time try use Based review choose phone Battery life great phone really handle abuse well husband forget shirt pocket phone go washer dryer still work well ever sure would work everyday phone need occasionally would highly recommend charge ready need,0.141,Positive,0.1725,Neutral,Negative
32,"I have had this model phone for 4-1/2 years and only now the battery is beginning to fail. FANTASTIC little phone that doesn't drop calls, can stick in a pocket or purse easily, does exactly what it is supposed to do at an unbeatable price. Refill for $100 and get a bonus $5.",  model phone year battery begin fail FANTASTIC little phone drop call stick pocket purse easily exactly suppose unbeatable price Refill get bonus,-0.009374999999999994,Negative,0.7106,Positive,Positive
33,"Easy to use features, slim in size at a very good price. It is better compare to my exsiting T-Mobile prepaid phone. I called from a landline to both phones and the at& t picked up within 13 seconds while the T-Mobile at 25 sec or most of the time, just jumped to my voice mail only. I highly recommend at&t.",  Easy use feature slim size good price well compare exsiting Mobile prepay phone call landline phone pick within second Mobile sec time jump voice mail highly recommend,0.23866666666666664,Positive,0.8655,Positive,Positive
34,"This phone is great. Simple to use, great battery life, always has a strong signal and AT&T has a great pay-as-you go plan. I'm happy.",  phone great Simple use great battery life always strong signal great pay go plan happy,0.6055555555555555,Positive,0.9633,Positive,Positive
35,It is just a basic phone and is an effective phone for people who do not need a lot of features. The size is good.,  basic phone effective phone people need lot feature size good,0.4333333333333333,Positive,0.7184,Positive,Positive
36,"this is a good little inexpensive phone - basic, but that's what I wanted! Just a phone for my pay as you go plan!",  good little inexpensive phone basic want phone pay go plan,0.1708333333333333,Positive,0.4215,Neutral,Positive
37,"I almost never write reviews for anything, but this stupid little cheap phone has proven so reliable and indestructible that I just had to say something. I bought this phone at least 3 (maybe 4) years ago, after two ""fancy"" (expensive) flip phones each lasted less than a year before falling apart. My goal was not to buy a phone that would last 4 years (I didn't expect any phone would) and certainly was not to buy a $20 phone that would last 4 years. My goal was just not to spend $150 on another phone. I hoped it might last 6 months, until I decided what to do next (change service providers, get a new contract with a free phone, etc.) To my surprise, this little brick of a phone just keeps going. It has not been treated lightly (I recently opened up the back to find the serial #, and found it full of dirt & dust). It has crashed with me skiing, been splashed with salt water while sailing, and been drenched in sweat while in my bike jersey. Still, it works. Complaints: I dearly wish it had a camera, even a crappy one. Sometimes the exposed buttons get pressed accidentally. It has no fancy features. But I'm going to buy another one-- just in case this one ever quits. UPDATE 1/1/12: This phone is still going. 5+ years now. I bought this phone when the first-generation iPhone came out. Four generations of iPhone later, I still don't have one, because this phone has refused to die. Incredible.",  almost never write review anything stupid little cheap phone prove reliable indestructible say something buy phone least maybe year ago two fancy expensive flip phone last less year fall apart goal buy phone would last year expect phone would certainly buy phone would last year goal spend another phone hop might last month decide next change service provider get new contract free phone etc surprise little brick phone keep go treat lightly recently open back find serial find full dirt dust crash ski splash salt water sail drench sweat bike jersey Still work Complaints dearly wish camera even crappy one Sometimes exposed button get press accidentally fancy feature go buy another one case one ever quit UPDATE phone still go year buy phone first generation iPhone come Four generation iPhone later still one phone refuse die Incredible,0.024237270665842095,Positive,-0.7906,Negative,Negative
38,"I have had the C168i for two years as a replacement for a different phone I broke. Note that it is a ""goPhone"" but you can use any monthly ATT service with it just by putting your SIM card in. My friends make fun of me for my boring looking phone, but they have since gone through 4-5 $150-200 phones while my $20 ""crap"" phone is still going and going... This phone is perfect for someone who doesn't need a camera, videos, bell and whistles stuff, but wants a sturdy reliable phone with a long battery life. It is also very inexpensive. Also, I attest to the main review that this phone is a ""TERMINATOR"" phone, meaning it is EXTREMELY resistant to almost all forms of physical harm. I have never tried soaking it in water, but I have dropped it, thrown it, scraped it, kicked it etc. and the screen and battery are still perfectly functional. Great battery life as well. My battery has NEVER run out on me. EVER! And I am super-negligent when it comes to charging it. Of course, the phone really only has normal calling and basic texting. The only complaint I would make is that entering new contacts into the address book is somewhat difficult and counter-intuitive until you learn how to do it. You won't regret buying this phone.",  C two year replacement different phone break Note goPhone use monthly ATT service put SIM card friend make fun boring look phone since go phone crap phone still go go phone perfect someone need camera video bell whistle stuff want sturdy reliable phone long battery life also inexpensive Also attest main review phone TERMINATOR phone mean EXTREMELY resistant almost form physical harm never try soak water drop thrown scrap kick etc screen battery still perfectly functional Great battery life well battery NEVER run EVER super negligent come charge course phone really normal call basic texting complaint would make enter new contact address book somewhat difficult counter intuitive learn regret buying phone,0.04438131313131313,Positive,0.5124,Positive,Positive
39,"I've been using this phone for about three weeks, now, and it truly is a nice little phone. It's small, light, and the keypad and screen really light up...you can actually see the screen in very bright sunlight! It does everything I want a phone to do. The graphics on the web are really very good, although accessing the web is rather slow. The keypad IS quite small, and this could be a problem for most men, but it's perfect for me. The only negative is that it doesn't have speaker phone capability. The battery life is, as the others have said, amazing! As for the person whose wife's phone was dead, it probably was jostled in her purse and was inadvertently turned on. I prefer bar phones to any other kind (not sure why), and one of the first things I learned was to lock the keypad whenever I put it in my purse, in my pocket, or any other place where it would be possible for the phone to be accidentally turned on. It's a simple matter of pushing two keys to turn on the lock or to shut it off, and sure saves a lot of battery life.",  use phone three week truly nice little phone small light keypad screen really light actually see screen bright sunlight everything want phone graphic web really good although access web rather slow keypad quite small could problem men perfect negative speaker phone capability battery life others say amazing person whose wife phone dead probably jostle purse inadvertently turn prefer bar phone kind sure one first thing learn lock keypad whenever put purse pocket place would possible phone accidentally turn simple matter push two key turn lock shut sure save lot battery life,0.21647727272727274,Positive,0.9479,Positive,Positive
